"id","Status_Final","Rank_Valid","Prop_Sens_A_OK","Prop_Sens_B_OK","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C","Mean_Visual_A","Mean_Visual_B","Mean_Visual_C"
14,"Selected_Tier_2",56,1,0.75,0.886792452830189,0.952380952380952,0.791666666666667,0.620689655172414,6.86206896551724,5.20833333333333,6.11320754716981,1.19047619047619,3.03448275862069,5.83333333333333,1.14285714285714,2.79885057471264,4.92273135669362,0.0540540540540541,0,0.0416666666666667,0.142857142857143,6.96551724137931,6.375,5.95238095238095
110,"Selected_Tier_2",57,0.954545454545455,0.863636363636364,0.909090909090909,0.7,0.863636363636364,0.590909090909091,6.63636363636364,6.18181818181818,6.40909090909091,1.8,3.36363636363636,6.13636363636364,2.13333333333333,2.77272727272727,4.60909090909091,0.0405405405405405,0,0,0.1,6.81818181818182,6.90909090909091,6.26666666666667
105,"Selected_Tier_2",58,1,0.818181818181818,0.906976744186046,0.818181818181818,0.909090909090909,0.619047619047619,6.71428571428571,5.81818181818182,6.25581395348837,1.72727272727273,3.42857142857143,6.18181818181818,1.59090909090909,2.75324675324675,4.52854122621564,0.0461538461538462,0,0,0.136363636363636,6.85714285714286,6.90909090909091,6.31818181818182
108,"Selected_Tier_2",59,1,0.772727272727273,0.883720930232558,0.681818181818182,0.909090909090909,0.571428571428571,6.90476190476191,5.22727272727273,6.04651162790698,2.63636363636364,3.57142857142857,6.31818181818182,2.63636363636364,2.74675324675325,3.41014799154334,0.0769230769230769,0,0.0454545454545455,0.181818181818182,6.95238095238095,6.59090909090909,6.04545454545455
134,"Selected_Tier_2",60,0.96551724137931,1,0.981132075471698,0.904761904761905,0.916666666666667,0.586206896551724,6.24137931034483,6.41666666666667,6.32075471698113,1.42857142857143,3.3448275862069,6.08333333333333,1.33333333333333,2.73850574712644,4.8921832884097,0.135135135135135,0.0344827586206897,0,0.428571428571429,6.72413793103448,6.83333333333333,4.85714285714286
20,"Selected_Tier_2",61,0.904761904761905,0.772727272727273,0.837209302325581,0.909090909090909,0.818181818181818,0.619047619047619,5.85714285714286,4.86363636363636,5.34883720930233,1.59090909090909,2.9047619047619,5.63636363636364,1.72727272727273,2.73160173160173,3.75792811839323,0.184615384615385,0.333333333333333,0,0.227272727272727,5.57142857142857,6.81818181818182,5.54545454545455
101,"Selected_Tier_2",62,0.966666666666667,0.956521739130435,0.962264150943396,0.909090909090909,0.91304347826087,0.5,6.66666666666667,6,6.37735849056604,1.40909090909091,3.6,6.30434782608696,1.72727272727273,2.70434782608696,4.96826758147513,0.0666666666666667,0,0.0434782608695652,0.181818181818182,6.96666666666667,6.60869565217391,5.72727272727273
50,"Selected_Tier_2",63,0.909090909090909,1,0.961538461538462,1,0.933333333333333,0.454545454545455,5.81818181818182,6.73333333333333,6.34615384615385,1,4.09090909090909,6.7,1.30434782608696,2.60909090909091,5.34615384615385,0.106666666666667,0.0454545454545455,0.0333333333333333,0.260869565217391,6.72727272727273,6.7,5.60869565217391
141,"Selected_Tier_2",64,0.909090909090909,1,0.955555555555556,1,1,0.363636363636364,6.27272727272727,6.8695652173913,6.57777777777778,1,4.27272727272727,6.8695652173913,1.24,2.59683794466403,5.57777777777778,0.257142857142857,0.0909090909090909,0.0434782608695652,0.6,6.59090909090909,6.69565217391304,3.72
67,"Selected_Tier_2",65,0.818181818181818,0.652173913043478,0.733333333333333,0.92,0.652173913043478,0.772727272727273,5.36363636363636,4.69565217391304,5.02222222222222,1.4,2.36363636363636,4.95652173913043,1.76,2.59288537549407,3.62222222222222,0.257142857142857,0.318181818181818,0.0869565217391304,0.36,5.18181818181818,6.39130434782609,4.6
74,"Selected_Tier_2",66,0.933333333333333,1,0.962264150943396,0.727272727272727,0.91304347826087,0.433333333333333,5.93333333333333,6.91304347826087,6.35849056603774,2,3.93333333333333,6.52173913043478,2.54545454545455,2.58840579710145,4.35849056603774,0.0666666666666667,0,0.130434782608696,0.0909090909090909,6.8,6.39130434782609,6.40909090909091
147,"Selected_Tier_2",67,0.91304347826087,0.92,0.916666666666667,0.862068965517241,0.88,0.565217391304348,6.21739130434783,6.2,6.20833333333333,1.58620689655172,3.60869565217391,6.16,1.72413793103448,2.55130434782609,4.62212643678161,0.181818181818182,0.0869565217391304,0.24,0.206896551724138,6.21739130434783,5.44,5.79310344827586
139,"Selected_Tier_2",68,0.954545454545455,0.869565217391304,0.911111111111111,0.92,0.869565217391304,0.590909090909091,6.40909090909091,5.82608695652174,6.11111111111111,1.32,3.31818181818182,5.82608695652174,1.2,2.50790513833992,4.79111111111111,0.0857142857142857,0.0454545454545455,0.0434782608695652,0.16,6.68181818181818,6.78260869565217,6.16
