Item,Condition,Semantic_Score,Info_Score,Mean_Visual_Error
113,a,6.39130434782609,2.60869565217391,6.82608695652174
148,c,1.54545454545455,1.77272727272727,4.59090909090909
146,a,6.40909090909091,4.31818181818182,6.90909090909091
86,b,5.5,5.4,6.66666666666667
81,b,6.5,6.5,6.81818181818182
23,a,6.5,2.95454545454545,6.13636363636364
147,a,6.21739130434783,3.60869565217391,6.21739130434783
9,c,1.43478260869565,1.78260869565217,6.21739130434783
136,a,6.66666666666667,2.79166666666667,6.95833333333333
89,b,6.75,5.08333333333333,6.75
42,c,1.33333333333333,1.75,5.79166666666667
97,b,6.68181818181818,6.63636363636364,6.95454545454545
129,c,1.5,1.72727272727273,6.22727272727273
120,a,6.625,2.375,6.79166666666667
138,b,4.60869565217391,4.26086956521739,5.60869565217391
67,a,5.36363636363636,2.36363636363636,5.18181818181818
19,b,4.57142857142857,5.38095238095238,6.66666666666667
1,a,6.70833333333333,3.41666666666667,6.95833333333333
126,b,6.8695652173913,6.34782608695652,6.91304347826087
142,a,6.6551724137931,4.55172413793103,6.93103448275862
35,c,1.40909090909091,1.77272727272727,6.18181818181818
83,b,6.43333333333333,5.86666666666667,6.7
102,c,1.13636363636364,1.09090909090909,4.13636363636364
45,c,1.17391304347826,1.26086956521739,6.30434782608696
133,a,6.88,3.28,6.92
18,c,1.875,1.5,6.58333333333333
84,b,6.22727272727273,5.59090909090909,6.59090909090909
116,c,1.04347826086957,1.08695652173913,6.17391304347826
